iter	RMSE
0	0.171747589
1	0.1703546437
2	0.1689534455
3	0.1676669685
4	0.1664631279
5	0.1652251085
6	0.1643662315
7	0.1634052813
8	0.1622155647
9	0.1612747031
10	0.160069665
11	0.159048861
12	0.1579670806
13	0.1570184258
14	0.156421248
15	0.1553757346
16	0.1543126055
17	0.1532589914
18	0.1520838607
19	0.1510526285
20	0.1499349704
21	0.1490839168
22	0.1480687606
23	0.1469287543
24	0.1459137501
25	0.1449151793
26	0.1438766751
27	0.1427628781
28	0.1418245651
29	0.1412775636
30	0.1405366224
31	0.1395916358
32	0.1386388619
33	0.137606365
34	0.1366188506
35	0.1360568641
36	0.1350739479
37	0.1341661693
38	0.1334219384
39	0.1325189543
40	0.1316554597
41	0.1307806501
42	0.1299493053
43	0.1289544037
44	0.1281188094
45	0.1272329011
46	0.1264509057
47	0.1255525453
48	0.1247412324
49	0.1238721882
50	0.1229104022
51	0.1220372763
52	0.1212418706
53	0.1204391847
54	0.1196364439
55	0.1188197772
56	0.1180392748
57	0.1173239245
58	0.1164992527
59	0.1157754045
60	0.1149906352
61	0.1141944259
62	0.1133819532
63	0.1126297276
64	0.1118468735
65	0.1112360604
66	0.1104661222
67	0.1097862303
68	0.1090700761
69	0.1082953798
70	0.1076298942
71	0.1071993137
72	0.1065049576
73	0.105859363
74	0.1051295946
75	0.1044864767
76	0.103858691
77	0.1031730859
78	0.1025253158
79	0.1021138905
80	0.1014444992
81	0.1008796737
82	0.1003073358
83	0.09970140705
84	0.09909894601
85	0.09848386266
86	0.09786596701
87	0.09725384615
88	0.09673902728
89	0.09612310162
90	0.09548346752
91	0.09490157833
92	0.09435835545
93	0.09397791363
94	0.0933855101
95	0.09279247752
96	0.09222862825
97	0.09159334669
98	0.09103567908
99	0.09047519756
100	0.08989843527
101	0.08937722699
102	0.08886876431
103	0.08836492577
104	0.08784241967
105	0.08738266815
106	0.08688246659
107	0.08638739513
108	0.0859178468
109	0.08535109686
110	0.08490473406
111	0.08433341371
112	0.08394354277
113	0.08344077296
114	0.08296194353
115	0.08246098152
116	0.08204228501
117	0.08151909467
118	0.08101779951
119	0.0805378414
120	0.08011739036
121	0.07964627851
122	0.07918915567
123	0.07871324336
124	0.0782469627
125	0.07779506573
126	0.0773661526
127	0.07689278218
128	0.07643528971
129	0.07597226431
130	0.07553522575
131	0.07516427266
132	0.07485833593
133	0.07442463988
134	0.07396843572
135	0.07360913019
136	0.07318629079
137	0.07276955472
138	0.07243487245
139	0.0720871813
140	0.07166872293
141	0.07137855963
142	0.07095642533
143	0.07052992661
144	0.07007971343
145	0.06964388907
146	0.06928376519
147	0.06888027191
148	0.06848066511
149	0.06809736806
150	0.06770742728
151	0.06741224959
152	0.06702438976
153	0.06665664545
154	0.06629359226
155	0.06599166894
156	0.06561802871
157	0.06526549787
158	0.06488096418
159	0.06453137726
160	0.06416510865
161	0.06381963933
162	0.06344370845
163	0.06308694452
164	0.0627647598
165	0.06246975039
166	0.06212561627
167	0.06187526465
168	0.06159634237
169	0.06130886102
170	0.06094966527
171	0.0606276669
172	0.06034080172
173	0.05998589664
174	0.05963557944
175	0.05929021275
176	0.05902457708
177	0.05866660778
178	0.05833648832
179	0.05809387033
180	0.05778124586
181	0.05744774497
182	0.05712311189
183	0.05681933371
184	0.05649090331
185	0.05614468987
186	0.05585667799
187	0.05553441815
188	0.05525053898
189	0.05494124216
190	0.05463033281
191	0.05433445381
192	0.05403074927
193	0.05374203044
194	0.0534823778
195	0.05318897767
196	0.05293119403
197	0.0526457535
198	0.05243657223
199	0.05216214309
200	0.05191631997
201	0.05164378389
202	0.05136391016
203	0.05108475839
204	0.05082185258
205	0.05054543942
206	0.05033744852
207	0.05010160506
208	0.04984399681
209	0.04958235238
210	0.04932974765
211	0.04909595867
212	0.04886052062
213	0.04862734355
214	0.04843756148
215	0.04816406376
216	0.0479373744
217	0.04764903599
218	0.04739844598
219	0.04716809412
220	0.0469455492
221	0.04672125397
222	0.04649663091
223	0.04626448304
224	0.04604912324
225	0.04587156358
226	0.04563462609
227	0.04542180981
228	0.04519344535
229	0.04498249081
230	0.04477520113
231	0.04457033259
232	0.04433682812
233	0.04409885085
234	0.04387628107
235	0.04364737156
236	0.0434518512
237	0.04325909135
238	0.04302116519
239	0.04280783042
240	0.04258574436
241	0.04236248995
242	0.04217557226
243	0.04196853805
244	0.04173481554
245	0.04154619078
246	0.04136216692
247	0.0411742511
248	0.04096219289
249	0.04077843379
250	0.04058433088
251	0.04040775966
252	0.04022758142
253	0.04004864944
254	0.03985780203
255	0.03966535174
256	0.03949592855
257	0.03933055198
258	0.03914214833
259	0.03897288471
260	0.0387703616
261	0.03858913743
262	0.03840052536
263	0.03823550882
264	0.03805612862
265	0.03785136044
266	0.0376737524
267	0.03749413348
268	0.03731925664
269	0.03714581487
270	0.03696185634
271	0.03680780693
